City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alma,,,,,,,,,,,1,,1
Anderson,,,,1,,,,2,,1,1,,5
Appleton City,,,,,,,,,1,,,,1
Arnold,,,,,1,,1,,1,,1,,4
Ash Grove,,,,,,,,,,1,1,,2
Ashland,,,,,,1,,,,,,,1
Augusta,,,,,2,,,,,,,,2
Aurora,,,,,,1,1,,,1,1,,4
Ava,,,,1,,,,2,1,,,,4
Ballwin,1,1,1,,,1,1,2,1,2,3,,13
Belle,,,,,,,,,1,,,,1
Belton,,,1,,,,,,,2,,,3
Berryman,,,,,,,,,1,,,,1
Billings,,,,,,1,,,,,,,1
Bismarck,,,,,,,,,1,,,,1
Bland,,,,,,,1,,,,,,1
Blue Springs,,,,1,1,1,,1,,2,1,,7
Bolivar,,1,,1,2,,,,,,,,4
Boonville,,,,,,,,,,,1,,1
Bowling Green,,,,,,,,,,1,,,1
Branson,,,1,1,3,3,2,2,2,1,2,,17
Brentwood,,,,,,,,,,,,1,1
Brownbranch,,,,,1,,,,,,,,1
Cabool,,,,1,,,,,,,,,1
California,,,,,,,,1,1,,,,2
Camdenton,,,,,,1,,,,1,,,2
Cameron,,,,1,,,2,,,1,,,4
Canton,,,,,,,,,,1,,,1
Cape Girardeau,2,1,3,5,2,,1,,4,1,1,1,21
Carl Junction,,,,,,,,,1,,,,1
Carrollton,,,,,,,,,,,1,,1
Carthage,,,,,2,,1,,,,,,3
Cassville,,,,1,,,,,1,,,,2
Cedar Hill,,,,,,,,,1,,,,1
Centralia,,,,,1,,,,,,1,,2
Charleston,,,,1,,,,,,,,,1
Chesterfield,,2,1,1,,,,,,2,3,,9
Chillicothe,,,,,,1,,,,1,,,2
Clayton,,,1,,,,,,,,,,1
Clever,,,,,1,,,,,,1,,2
Clinton,,,,,1,,1,,,1,,,3
Cole Camp,,,,,1,,,,,,,,1
Columbia,1,1,5,7,9,1,5,3,8,6,4,3,53
Conception,,,,,1,,,,,,,,1
Concordia,,,,,1,,,,,,,,1
Cottleville,,,1,1,,,,,1,1,,,4
Crestwood,,,,,,,,1,,,,,1
Creve Coeur,,,,,,,,,,1,,,1
Crocker,,1,,,,,,,,,,,1
Crystal City,,1,,,,,,,,,,,1
Cuba,,,2,,,,,,,1,,1,4
Dadeville,,,,,,,,,,,1,,1
Dardenne Prairie,,,1,,,,,,,1,,,2
De Soto,,,,,,,,,,,1,,1
Deepwater,,,,,,,,,1,,,,1
Defiance,,,,,1,,1,,,,,,2
Delta,,,,,,1,,,,,,,1
Desloge,,,,,,,,,,,,1,1
Dexter,,,,,,,,,1,,,,1
East Prairie,,,,,,,,,,,1,,1
Edina,,,,,,,,,,1,,,1
Eldon,,,1,1,1,,,,,1,,,4
Ellisville,1,,,1,,,1,,,,,,3
Elsberry,,,,,1,,,,,,,,1
Eureka,,,,,1,,,,1,1,2,,5
Excelsior Springs,,,,,1,1,,,,,,,2
Farmington,,,,,1,,,,,,1,,2
Fellows Lake,,,,,,,1,,,,,,1
Fenton,,,,,1,,,2,2,,,,5
Ferguson,,,,,1,,,,,,,,1
Festus,,,1,,,,,1,,,,,2
Florissant,,,,,1,,,,1,,,,2
Fordland,,,,,,,,,1,,,,1
Foristell,,,,,,,,,1,,1,,2
Forsyth,,,1,,,,,,,,,,1
Fort Leonard Wood,,,1,,,,1,1,1,2,1,,7
Frankenstein,,,,,,,,,,1,,,1
Fulton,,,,,,1,1,,,,,,2
Gainesville,,,,,,,,,,,1,,1
Gallatin,,1,,,1,,,,1,,,,3
Gladstone,,,1,,1,,,,1,1,,,4
Glendale,,,1,,,,,,,1,,,2
Grain Valley,,,,,3,,1,,,,,,4
Granby,,,,,,1,,,,,,,1
Grandview,,,,,,1,,,,,1,,2
Gray Summit,,,1,1,,,,,,,,,2
Greenwood,,,,,,,,,1,,,,1
Hallsville,,,,,,,,,1,,,,1
Hannibal,,,,2,,,1,,,,1,,4
Harrisonville,,,,,,,,,3,,,,3
Hartville,,,,,,,,,1,,,,1
Hawk Point,,,,,,,,,,1,,,1
Hazelwood,,,,,,,,,1,,,,1
Hermann,,,,,1,,,1,1,,1,,4
Higginsville,,,,,,1,,,,,,,1
High Ridge,,,,1,,,,,,,,,1
Highlandville,,,,,,,,1,1,,1,,3
Hillsboro,,,,,1,,,,,2,,,3
Hollister,,,,1,,,1,,,1,,,3
Hopkins,,,,1,,,,,,,,,1
Houston,,,1,,,,,,,,,,1
Imperial,,,1,,,,,1,,,,,2
Independence,,1,1,1,2,1,3,1,2,,4,,16
Innsbrook,,,,,,1,,,1,,,,2
Jackson,,,,1,1,1,1,,1,1,1,,7
Jefferson City,,,3,4,2,1,3,,,4,3,,20
Joplin,1,1,1,4,3,3,2,3,2,3,3,,26
Kansas City,1,3,6,4,14,8,4,4,16,9,12,2,83
Kearney,,,,,,,,,1,,1,,2
Kimmswick,,,,,,,,1,,,,,1
Kirksville,,,1,1,1,,,,1,1,,,5
Kirkwood,,,,1,,2,1,,2,,1,,7
Knob Noster,1,,,1,1,1,,1,,,,,5
Laclede,,,,,1,,,,,,,,1
Lake Ozark,,,,2,1,,,,1,,,,4
Lake Waukomis,,,,,1,,,,,,,,1
Lamar,,,1,,1,,,,,1,,,3
Lampe,,,,1,,,,,,2,,,3
Lawson,,,,,,1,,,,,,,1
Lebanon,,,,1,,1,,,,1,,,3
Lee's Summit,,,1,1,,,1,1,2,2,1,,9
Lees Summit,,,,,2,2,1,3,1,3,,1,13
Lexington,,,,1,,,,,,,,,1
Liberty,,,1,,,2,,1,,3,1,,8
Linn,,,1,,,,,,1,,,,2
Linn Creek,,,,1,,,,,,,,,1
Lockwood,,1,1,1,,,,,,,,,3
Louisiana,1,,,,,,1,,,1,,,3
Macon,,,,1,,1,,,,1,,,3
Malden,,,,,,,,,,1,,,1
Mansfield,,,,1,,1,,,1,,1,,4
Maplewood,,,,,,,,,1,,,,1
Marionville,,,,,1,,,,,,,,1
Marshall,,,,,1,1,,,,,,,2
Marshfield,,,1,1,,,,,,,,,2
Maryland Heights,,,1,1,,,,,,,1,,3
Maryville,,,,1,,2,1,1,1,,,,6
Mexico,,,,,,,1,,,,,,1
Middle Brook,,,,,,,,,,1,,,1
Miller,,,,1,,,,,,,,,1
Mindenmines,,,,,,,,,,1,,,1
Moberly,,,,,,,,1,,,,,1
Monett,,,,,,,,,,1,,1,2
Monroe City,,,,,,1,,,,,,,1
Montgomery City,,,,,,,,,,2,,,2
Moscow Mills,,,,,,,,,,,1,,1
Mount Vernon,,,,,,,,,,,1,,1
Mountain Grove,,,,,,,1,,,,,,1
Neosho,,,1,,,1,,,1,,,,3
New London,,,,,,1,,,,,,,1
Nixa,,,,,,1,,,1,,,,2
North Kansas City,,,,,,,,,,,,1,1
O Fallon,,,,,,,,1,,1,,,2
O'Fallon,,,,,1,1,1,,2,,2,,7
Oak Grove,,,1,,,1,,,,,,,2
Odessa,,,,,,,,2,,,,,2
Olivette,,,,,,,,,1,,1,,2
Oregon,,,,,,,,,1,,,,1
Osage Beach,,1,,,1,,,,1,,,,3
Osceola,,,,,,1,,,,,,,1
Owensville,,,,,,,,,1,,,,1
Ozark,,,,2,,1,1,3,1,1,3,,12
Palmyra,,,,1,,,,,,,,,1
Park Hills,,,1,,,,,,,,,,1
Parkville,,,,,2,,1,1,1,2,1,1,9
Peculiar,,,1,1,,,,,,,,,2
Perryville,,,,,,,,1,,,,,1
Piedmont,,,,,,,,,,2,,,2
Pierce City,,,,,,,,,,,1,,1
Pineville,,,,,,,,,,1,,,1
Platte City,,,,,,,1,,,,,,1
Pleasant Valley,,,,,,,,,,1,,,1
Poplar Bluff,,,,3,1,,1,,,,,,5
Potosi,,,,,1,,,,,,,,1
Raytown,,,,,1,,,,,,,,1
Reeds Spring,,,1,,,,,,,,,,1
Republic,,1,,1,1,,,2,1,,1,1,8
Richmond Heights,,,,,,,,,,1,,,1
Rocheport,,,1,,1,,,,,,,1,3
Rolla,,1,2,2,3,4,4,1,2,2,1,2,24
Saddlebrooke,,,,,,,,,1,,,,1
Saint Charles,,,,,,,,,,,,1,1
Saint Joseph,,,,1,1,,,,,,,,2
Saint Louis,,,1,,,,,,,3,1,,5
Salem,,,1,,,,,1,,,1,,3
Salisbury,,,,,,1,,,,,,,1
Sarcoxie,,1,,,,,,,,,,,1
Savannah,,,,,,,,1,1,,,,2
Sedalia,,,1,,2,1,2,,1,3,1,,11
Seligman,,,,,,,,,,1,,,1
Shrewsbury,,,,1,,,,,,,,,1
Sikeston,,,1,1,,,,,,,,,2
Smithville,,,,,,,2,1,1,,,,4
Southwest City,,,,,1,,,,,,,,1
Sparta,,1,,,1,,1,,,,,,3
Springfield,2,2,8,12,11,5,4,6,6,12,4,4,76
St Louis,,,,1,2,2,,2,,1,2,,10
St. Albans,,,,,,1,,,,,,,1
St. Charles,,1,1,,3,,4,,3,2,1,,15
St. James,,,,1,,,,2,,,1,,4
St. Joseph,,,1,3,1,,,1,1,,,,7
St. Louis,4,3,9,10,9,9,5,7,19,15,17,13,120
St. Peters,,,,1,1,2,,,2,,,,6
Ste Genevieve,,,,,1,,,,,,,,1
Ste. Genevieve,,1,,2,,1,,,,,1,,5
Steelville,,,,,,,,,1,,1,,2
Stockton,,,1,1,1,,,1,,,,,4
Sturgeon,,,,,,1,,,,,,,1
Sullivan,,,,1,,,,,1,2,,,4
Sunset Hills,,,,,,,,1,,,1,,2
Sweet Springs,,,,1,,,,,,,,,1
Thornfield,,,1,,,,,,,,,,1
Town and Country,,,,,,,,,,1,,,1
Trenton,,,,,,,,,,1,,,1
Troy,,,1,1,1,,,,,,,,3
Union,,,,1,,1,,1,,,,,3
Unity Village,,,,,1,,,,,,,,1
University City,1,,,,1,,,,,,,,2
Versailles,,,,,,,,,,,1,,1
Vienna,,,,,,,,,1,,,,1
Warrensburg,,,,1,,,,,1,3,1,,6
Warrenton,,,,,,,,,1,,,,1
Warsaw,,,,,2,2,,,,,,,4
Warson Woods,,,,,,,,,,,1,,1
Washburn,,,,,,1,,,,,,,1
Washington,,,1,,2,1,1,2,1,,,,8
Waynesville,,,,1,,,,,,3,,,4
Weatherby Lake,,,,,,,,,1,,,,1
Webb City,,,,1,,1,,,,,,,2
Webster Groves,,,,,2,1,,,,1,,1,5
Wentzville,,,1,,1,,,1,,,,,3
West Plains,,1,1,1,,,,,,,,,3
Weston,,,,,,,1,,,,,,1
Whiteman Air Force Base,,,,,1,,,,,,,,1
Wildwood,1,,,1,2,,,,,1,,,5
Willard,,,,1,,,,1,,,1,,3
Willow Springs,,,,,,,,,,,,1,1
Wright City,,,,,1,,,,,1,,,2
Total,17,28,82,116,137,88,73,77,135,140,112,37,1042
